"Room type,""Parametr"",""Link"",""per  pice = 0/by metrs = 1"",""Price"""
"Bathroom,""Toilet"",""https://leroymerlin.ru/product/unitaz-kompakt-yauza-kosoy-vypusk-odinarnyy-sliv-82199701/"",""0"",""5400"""
"Bathroom,""Toilet"",""https://leroymerlin.ru/product/unitaz-kompakt-azario-az1169-gorizontalnyy-vypusk-povorotnyy-sliv-90806745/"",""0"",""20353"""
"Bathroom,""Toilet"",""https://leroymerlin.ru/product/unitaz-pristavnoy-ceruttispa-marmolada-f-ct8906-bezobodkovyy-sidene-mikrolift-90585789/"",""0"",""12400"""
"Bathroom,""Bidet"",""https://leroymerlin.ru/product/bide-napolnoe-sanita-luxe-blanc-344x393-sm-82010710/"",""0"",""5205"""
"Bathroom,""Bidet"",""https://leroymerlin.ru/product/bide-sanita-smrsabi01-35x406sm-90413399/"",""0"",""4173"""
"Bathroom,""Bidet"",""https://leroymerlin.ru/product/bide-napolnoe-aquatek-vega-aq108-00-5-90358335/"",""0"",""12328"""
"Bathroom,""Bidet"",""https://leroymerlin.ru/product/bide-simas-lo-923-bia-34x39sm-90983348/"",""0"",""25040"""
"Bathroom,""Bidet"",""https://leroymerlin.ru/product/bide-ceramica-nova-cn3002mb-37x30sm-91659652/"",""0"",""25280"""
"Bathroom,""Sink"",""https://leroymerlin.ru/product/rakovina-kirovit-prestizh-na-stiralnuyu-mashinu-60-sm-82973820/"",""0"",""7648"""
"Bathroom,""Sink"",""https://leroymerlin.ru/product/rakovina-mebelnaya-universal-elegiya-50x415-sm-16121296/"",""0"",""1708"""
"Bathroom,""Sink"",""https://leroymerlin.ru/product/rakovina-sanita-samarskaya-farfor-575-sm-cvet-belyy-12432724/"",""0"",""2040"""
"Bathroom,""Sink"",""https://leroymerlin.ru/product/rakovina-teymi-t50410-nad-stiralnoy-mashinoy-60sm-91078331/"",""0"",""7383"""
"Bathroom,""Sink"",""https://leroymerlin.ru/product/rakovina-santek-tigoda-nakladnaya-50-sm-82479817/"",""0"",""2538"""
"Bathroom,""Main lighting"",""https://leroymerlin.ru/product/lyustra-podvesnaya-tarde-5070-8-8-lamp-25-m-cvet-chernyy-87460687/"",""0"",""8060"""
"Bathroom,""Main lighting"",""https://leroymerlin.ru/product/lyustra-potolochnaya-inspire-amber-4-lampy-12-m-cvet-belyy-85113377/"",""0"",""3380"""
"Bathroom,""Main lighting"",""https://leroymerlin.ru/product/svetilnik-nastenno-potolochnyy-svetodiodnyy-inspire-village-12-vt-8-m-neytralnyy-belyy-svet-cvet-belyy-85048578/"",""0"",""544"""
"Bathroom,""Main lighting"",""https://leroymerlin.ru/product/spot-povorotnyy-inspire-technic-6-lamp-126-m-cvet-hrom-82251889/"",""0"",""3192"""
"Bathroom,""Main lighting"",""https://leroymerlin.ru/product/lyustra-potolochnaya-golfo-5060-6-6-lamp-18-m-cvet-zheltyy-87460834/"",""0"",""6890"""
"Bathroom,""Auxiliary lighting"",""https://leroymerlin.ru/product/svetilnik-nastennyy-bra-layma-467021902-2-lampy-60-vt-g9-220-88673948/"",""0"",""5828"""
"Bathroom,""Auxiliary lighting"",""https://leroymerlin.ru/product/bra-eurosvet-sandra-60005-1-18818311/"",""0"",""3320"""
"Bathroom,""Auxiliary lighting"",""https://leroymerlin.ru/product/nastennyy-svetilnik-svetodiodnyy-inspire-leria-teplyy-belyy-svet-cvet-chernyy-85249846/"",""0"",""2620"""
"Bathroom,""Auxiliary lighting"",""https://leroymerlin.ru/product/svetilnik-nastennyy-bra-svetodiodnyy-inspire-oneux-800-lm-neytralnyy-belyy-svet-cvet-chernyy-84840914/"",""0"",""2620"""
"Bathroom,""Auxiliary lighting"",""https://leroymerlin.ru/product/nastennyy-svetilnik-bagulnik-ks30073-1w-82603283/"",""0"",""550"""
"Bathroom,""Shower/Bathtub"",""https://leroymerlin.ru/product/dushevaya-kabina-sensea-aurora-nizkiy-poddon-90x90-sm-83275861/"",""0"",""32746"""
"Bathroom,""Shower/Bathtub"",""https://leroymerlin.ru/product/dushevaya-kabina-parly-efm921-90x90sm-profil-belyy-steklo-matovoe-90736237/"",""0"",""24700"""
"Bathroom,""Shower/Bathtub"",""https://leroymerlin.ru/product/dushevaya-kabina-parly-ec1031-100x100-profil-belyy-steklo-tonirovannoe-90509033/"",""0"",""31000"""
"Bathroom,""Shower/Bathtub"",""https://leroymerlin.ru/product/vanna-nicca-akril-s-karkasom-170x70-sm-83240825/"",""0"",""15008"""
"Bathroom,""Shower/Bathtub"",""https://leroymerlin.ru/product/vanna-nereya-akrilovaya-170x70-sm-81955824/"",""0"",""8220"""
"Bathroom,""Built-in electric towel warmer"",""https://leroymerlin.ru/product/sushilka-dlya-belya-level-nastenno-potolochnaya-18-m-86728682/"",""0"",""2514"""
"Bathroom,""Built-in electric towel warmer"",""https://leroymerlin.ru/product/sushilka-dlya-belya-sn60-b-nastennaya-60-sm-85186781/"",""0"",""588"""
"Bathroom,""Built-in electric towel warmer"",""https://leroymerlin.ru/product/nastennaya-sushilka-dlya-belya-ryzhiy-kot-998400-93809789/"",""0"",""1037"""
"Bathroom,""Built-in electric towel warmer"",""https://leroymerlin.ru/product/sushilka-nastennaya-dlya-belya-nika-sn45-seryy-98264266/"",""0"",""568"""
"Bathroom,""Built-in electric towel warmer"",""https://leroymerlin.ru/product/sushilka-dlya-belya-level-nastenno-potolochnaya-1-m-86728678/"",""0"",""2223"""
"Hallway,""Walls"",""https://leroymerlin.ru/product/oboi-flizelinovye-ateliero-standart-bezhevye-106-m-at283502-85633654/"",""1"",""1258"""
"Hallway,""Walls"",""https://leroymerlin.ru/product/oboi-flizelinovye-monte-solaro-paint-serye-106-m-ms9164-24-86549305/"",""1"",""1807"""
"Hallway,""Walls"",""https://leroymerlin.ru/product/fotooboi-flizelinovye-bartonwall-400x270-sm-cvety-oduvanchiki-f00904-c-90730015/"",""1"",""5980"""
"Hallway,""Walls"",""https://leroymerlin.ru/product/oboi-bumazhnye-korichnevye-053-m-17983841/"",""1"",""146"""
"Hallway,""Walls"",""https://leroymerlin.ru/product/fotooboi-flizelinovye-bartonwall-300x270-sm-soty-pod-derevo-m00903-90727517/"",""1"",""4485"""
"Hallway,""Ceiling"",""https://leroymerlin.ru/product/potolochnaya-panel-centurion-500x500x03mm-len-91173478/"",""1"",""20"""
